iter	Passed	Remaining
0	155	155250
1	160	79907
2	165	55008
3	170	42495
4	175	34893
5	180	29908
6	185	26317
7	190	23605
8	195	21477
9	200	19852
10	205	18491
11	210	17320
12	215	16378
13	220	15541
14	225	14794
15	230	14161
16	235	13595
17	239	13090
18	245	12649
19	250	12259
20	255	11897
21	260	11559
22	265	11260
23	269	10979
24	275	10742
25	280	10503
26	285	10278
27	290	10071
28	295	9902
29	300	9731
30	306	9569
31	311	9419
32	316	9265
33	321	9125
34	325	8986
35	331	8863
36	336	8747
37	341	8638
38	346	8531
39	351	8428
40	355	8323
41	360	8225
42	365	8141
43	370	8057
44	375	7975
45	380	7898
46	385	7816
47	390	7751
48	395	7684
49	400	7615
50	405	7545
51	410	7479
52	415	7420
53	420	7363
54	425	7311
55	430	7260
56	435	7208
57	440	7155
58	446	7115
59	451	7071
60	456	7023
61	461	6981
62	466	6933
63	471	6890
64	476	6859
65	482	6827
66	487	6789
67	492	6749
68	497	6715
69	502	6678
70	507	6646
71	513	6613
72	517	6576
73	522	6543
74	527	6511
75	532	6478
76	537	6444
77	543	6419
78	548	6392
79	553	6362
80	558	6338
81	563	6310
82	568	6280
83	573	6252
84	578	6228
85	583	6200
86	588	6173
87	593	6151
88	598	6124
89	603	6100
90	608	6077
91	613	6054
92	618	6033
93	624	6015
94	629	5992
95	633	5969
96	638	5944
97	643	5925
98	648	5903
99	653	5881
100	658	5861
101	663	5841
102	668	5822
103	673	5803
104	678	5787
105	683	5768
106	688	5749
107	693	5730
108	698	5710
109	703	5691
110	708	5674
111	713	5655
112	718	5638
113	723	5623
114	728	5607
115	733	5591
116	738	5573
117	743	5558
118	748	5539
119	753	5523
120	758	5508
121	763	5492
122	767	5475
123	773	5461
124	777	5444
125	782	5431
126	788	5416
127	792	5402
128	797	5385
129	802	5371
130	807	5358
131	813	5346
132	818	5332
133	823	5322
134	828	5307
135	833	5295
136	839	5285
137	844	5273
138	849	5259
139	854	5250
140	859	5238
141	865	5227
142	870	5215
143	875	5204
144	880	5191
145	885	5177
146	890	5170
147	895	5157
148	900	5144
149	906	5134
150	911	5122
151	915	5109
152	920	5097
153	925	5086
154	930	5074
155	936	5064
156	941	5052
157	945	5040
158	951	5030
159	956	5022
160	962	5015
161	967	5005
162	972	4995
163	977	4983
164	982	4971
165	987	4961
166	992	4949
167	997	4941
168	1003	4932
169	1008	4922
170	1013	4912
171	1018	4902
172	1023	4891
173	1028	4883
174	1034	4874
175	1039	4866
176	1044	4855
177	1049	4845
178	1054	4837
179	1059	4827
180	1064	4817
181	1069	4808
182	1074	4798
183	1079	4787
184	1084	4777
185	1089	4768
186	1094	4758
187	1099	4749
188	1104	4740
189	1109	4730
190	1114	4720
191	1119	4712
192	1124	4703
193	1129	4694
194	1136	4690
195	1141	4681
196	1146	4672
197	1151	4665
198	1156	4656
199	1161	4647
200	1178	4684
201	1183	4674
202	1188	4664
203	1193	4655
204	1198	4646
205	1203	4637
206	1208	4628
207	1213	4619
208	1218	4612
209	1223	4603
210	1228	4594
211	1234	4587
212	1239	4578
213	1244	4569
214	1249	4562
215	1254	4552
216	1259	4543
217	1263	4533
218	1268	4524
219	1273	4515
220	1278	4507
221	1283	4498
222	1288	4490
223	1293	4481
224	1299	4475
225	1304	4467
226	1309	4457
227	1313	4448
228	1319	4441
229	1323	4432
230	1328	4423
231	1334	4416
232	1339	4409
233	1344	4402
234	1350	4395
235	1354	4386
236	1360	4378
237	1365	4371
238	1370	4363
239	1375	4355
240	1380	4348
241	1385	4339
242	1390	4331
243	1395	4323
244	1400	4315
245	1405	4307
246	1410	4300
247	1416	4295
248	1421	4287
249	1426	4280
250	1432	4275
251	1438	4269
252	1443	4262
253	1448	4255
254	1453	4246
255	1458	4237
256	1463	4230
257	1468	4223
258	1473	4215
